5800,January,10000,oh,276,21
7320,January,10007,ky,501,13
5289,January,10008,tx,195,32
6202,January,10017,ma,4,27
7303,January,10018,tx,366,20
4903,January,1001,ar,61,28
5197,January,10024,mn,737,42
7120,January,10024,tx,752,20
6446,January,10029,tx,26,41
4322,January,1002,ma,200,71
3052,January,1002,tx,37,40
6537,January,10034,la,803,22
3416,January,1003,fl,36,82
5297,January,10040,fl,669,7
5143,January,10041,sc,572,48
7917,January,10044,az,34,38
7984,January,10052,wi,38,35
6063,January,10054,ny,204,46
6491,January,10055,de,22,49
6663,January,10056,fl,268,50
2237,January,1005,ga,365,97
6344,January,10063,fl,345,58
5744,January,10065,ks,660,51
5320,January,10068,ga,739,37
1855,January,1006,ut,862,94
7317,January,10075,il,92,30
5460,January,10075,pa,28,50
1509,January,1007,ca,303,90
6920,January,10081,ma,298,13
7589,January,10082,ca,93,59
6359,January,10083,hi,20,21
1980,January,1008,va,32,16
7708,January,10096,nc,43,23
5873,January,10097,nc,255,14
5733,January,10097,nc,929,15
2852,January,1009,ca,477,71
2843,January,1009,ma,753,76
6312,January,10100,ma,75,7
6053,January,10102,ca,3,31
3953,January,1010,ca,700,18
7145,January,10110,nc,202,56
5298,January,10111,co,52,52
7234,January,10113,mn,113,26
6342,January,10118,la,481,15
3477,January,1011,ma,869,41
1614,January,1011,mi,431,12
2938,January,1011,mo,162,79
1602,January,1011,pa,2,17
6288,January,10123,ca,221,58
5328,January,10127,ca,314,9
5306,January,10135,ca,782,53
5812,January,10139,ok,611,56
5760,January,10143,va,291,49
5464,January,10144,az,471,41
5303,January,10146,sc,464,59
7747,January,10147,ms,210,17
6367,January,10148,ca,43,35
5227,January,10150,fl,3,16
5498,January,10150,fl,72,28
6953,January,10150,ma,125,20
6987,January,10152,fl,704,35
6469,January,10153,co,123,12
5388,January,10154,oh,55,21
7634,January,10155,nc,117,12
6608,January,10155,tx,164,6
6622,January,10162,or,675,14
5134,January,10164,nh,269,43
5107,January,10169,mi,2,14
4960,January,1016,tx,460,42
6415,January,10175,mo,394,59
7862,January,10175,oh,622,31
5561,January,10177,nj,63,34
5572,January,10179,mi,277,58
2123,January,1017,ak,363,27
1707,January,1017,tx,751,80
7103,January,10180,tx,690,52
7091,January,10190,mo,768,44
7466,January,10199,wa,144,13
6447,January,10200,nj,12,17
5070,January,10202,ky,554,19
7499,January,10204,oh,190,50
7733,January,10205,ca,706,16
5164,January,10207,ga,47,51
6677,January,10210,ca,824,27
7839,January,10210,tx,32,58
7222,January,10211,ok,549,25
7123,January,10216,il,146,21
5835,January,10217,ca,35,24
2748,January,1021,oh,207,88
5412,January,10223,wi,48,33
6575,January,10228,in,265,28
6138,January,10229,ca,185,6
1797,January,1022,ct,723,83
6592,January,10231,ms,699,47
4859,January,1023,nh,51,66
6544,January,10245,ny,515,49
3292,January,1024,hi,532,36
1809,January,1024,ny,495,76
