113404,October,10000,az,636,75
111074,October,10002,dc,553,18
111885,October,10006,al,13,19
112006,October,10007,ny,43,63
111668,October,10014,nc,408,39
110446,October,1001,fl,3,15
112283,October,10023,ks,108,11
112359,October,10024,ga,462,64
113042,October,10026,ny,286,11
112971,October,10028,fl,762,17
112486,October,10029,ca,323,13
105376,October,1002,ca,1,32
109512,October,1002,ca,4,19
110138,October,1002,fl,4,79
106591,October,1002,ny,11,108
106097,October,1002,pa,9,15
111247,October,10032,fl,423,28
113443,October,10037,de,245,68
112674,October,10037,wi,28,29
113100,October,10039,ca,200,20
106081,October,1003,la,22,132
113642,October,10048,co,133,65
108955,October,1004,fl,21,32
110960,October,1004,in,44,146
107139,October,1004,mt,11,32
111984,October,10051,ca,284,75
111954,October,10058,ia,43,57
111897,October,10059,ga,447,47
106294,October,1005,ny,4,99
113006,October,10066,in,42,25
109883,October,1006,mi,22,70
110179,October,1006,nv,2,11
111136,October,10073,oh,685,59
113470,October,10076,wa,167,45
111178,October,10077,ca,630,46
113388,October,10077,ma,2,63
109385,October,1007,nj,89,15
111432,October,10081,az,231,29
112858,October,10089,tx,79,15
107157,October,1008,me,2,148
108409,October,1008,pa,0,113
112718,October,10090,or,34,67
113510,October,10091,fl,499,32
112087,October,10092,mi,543,20
111728,October,10094,ca,435,16
108370,October,1009,ga,14,117
109001,October,1009,ny,11,152
106176,October,1009,ok,1,27
108567,October,1009,va,11,106
113829,October,10102,ny,15,47
112746,October,10104,ca,78,29
113926,October,10105,ny,59,19
112435,October,10108,de,4,78
111032,October,10108,ma,922,28
108466,October,1010,il,0,22
106212,October,1010,md,67,118
112487,October,10113,de,770,70
113881,October,10121,ma,574,33
113014,October,10122,ny,59,53
112649,October,10125,nj,329,29
111097,October,10125,tn,753,58
113687,October,10128,ma,376,70
107655,October,1012,az,23,75
107748,October,1012,mn,1,25
107312,October,1012,oh,1,92
112340,October,10130,fl,542,38
112035,October,10130,wa,31,55
113600,October,10138,ga,51,37
113237,October,10138,nj,545,54
105604,October,1013,hi,2,72
111816,October,10149,mt,65,28
111368,October,10150,sc,80,40
113994,October,10153,co,5,12
111420,October,10155,pa,471,38
110986,October,1015,ok,96,107
112708,October,10161,fl,1,13
111456,October,10163,ca,245,34
113364,October,10165,md,155,54
105127,October,1016,nj,12,87
105916,October,1016,tx,80,42
112393,October,10175,tx,16,29
106942,October,1017,ca,93,56
108169,October,1017,fl,5,133
105052,October,1017,il,14,97
111429,October,10180,ca,244,43
111608,October,10181,il,206,64
111887,October,10183,ca,153,20
113174,October,10188,fl,111,31
107508,October,1018,ca,28,43
109395,October,1018,vt,6,33
111970,October,10190,tn,9,32
113658,October,10194,ky,391,33
111758,October,10196,ga,20,43
106037,October,1019,nc,2,34
108881,October,1019,ut,35,94
105631,October,1019,va,4,123
112478,October,10202,fl,35,71
111681,October,10204,ny,79,45
113476,October,10205,fl,0,37
111486,October,10206,va,290,43
112135,October,10208,oh,114,58
113475,October,10208,tx,238,55
110423,October,1020,mo,39,60
109982,October,1020,or,1,19
111541,October,10216,al,3,51
112585,October,10217,fl,88,50
105601,October,1021,id,21,81
105357,October,1021,mn,5,115
113126,October,10224,tn,681,74
111380,October,10227,tx,51,42
112852,October,10228,oh,185,77
110256,October,1022,nd,8,28
109822,October,1022,or,31,109
113026,October,10230,ga,90,11
113253,October,10232,ma,58,75
113446,October,10232,wa,698,78
112687,October,10235,ca,181,50
112621,October,10236,mi,387,73
109017,October,1023,ny,51,71
112711,October,10242,ca,244,35
111112,October,10250,oh,291,68
112222,October,10255,ga,711,58
108758,October,1025,de,12,11
105847,October,1025,id,37,152
107979,October,1025,in,19,79
105412,October,1025,md,93,146
109343,October,1025,nj,3,61
112109,October,10260,ca,100,21
106867,October,1026,nj,1,65
107511,October,1026,va,4,141
111612,October,10273,ca,408,61
111632,October,10275,md,536,39
112662,October,10276,al,661,59
112052,October,10278,ca,335,71
107790,October,1027,ny,36,112
107854,October,1027,ok,1,55
111427,October,10282,ia,31,66
113500,October,10287,ca,432,33
110909,October,1028,sc,0,82
112383,October,10294,tn,461,27
111845,October,10295,ks,26,17
113238,October,10298,fl,165,66
106906,October,1029,ks,6,95
112549,October,10301,ny,257,39
112099,October,10303,ny,126,73
111916,October,10304,ca,9,62
112659,October,10309,va,6,42
