108091,"August",2014-08-23 05:28:42,24165,"ma",10,18
108092,"August",2014-08-13 20:03:51,16057,"fl",75,17
108093,"August",2014-08-18 16:51:36,20966,"la",1,31
108095,"August",2014-08-25 02:24:17,23703,"mo",133,12
108096,"August",2014-08-28 14:30:11,19371,"nc",883,10
108097,"August",2014-08-04 18:02:15,23521,"md",189,28
108100,"August",2014-08-15 03:59:44,18068,"wa",311,29
108101,"August",2014-08-17 00:55:44,16737,"la",272,7
108102,"August",2014-08-24 00:57:59,17539,"wa",0,33
108103,"August",2014-08-15 07:29:44,19452,"fl",43,36
108104,"August",2014-08-22 15:47:51,17455,"ok",441,34
108105,"August",2014-08-01 11:26:37,24287,"nc",8,10
108106,"August",2014-08-12 04:43:03,17536,"sc",579,11
108107,"August",2014-08-14 16:12:22,24670,"ny",14,14
108108,"August",2014-08-17 21:33:06,19164,"nc",12,17
108110,"August",2014-08-31 09:00:43,24666,"ny",200,7
108112,"August",2014-08-22 10:57:42,16623,"tx",97,22
108114,"August",2014-08-15 12:38:34,16262,"ar",60,24
108115,"August",2014-08-25 09:52:26,22474,"wv",598,30
108117,"August",2014-08-23 10:24:42,17730,"va",1,19
108118,"August",2014-08-06 05:57:48,16105,"tx",0,22
108119,"August",2014-08-25 13:20:44,18032,"ny",0,30
108120,"August",2014-08-09 08:55:12,24573,"in",245,25
108121,"August",2014-08-31 07:54:47,22947,"va",91,17
108122,"August",2014-08-02 18:22:29,24739,"or",1,25
108123,"August",2014-08-17 14:49:27,15967,"nd",2,37
108124,"August",2014-08-30 23:49:16,18954,"va",0,35
108125,"August",2014-08-04 21:49:25,21225,"mn",2,25
108126,"August",2014-08-01 16:16:57,18638,"pa",19,36
108127,"August",2014-08-23 08:08:33,24967,"nc",2,40
108129,"August",2014-08-19 19:17:02,24595,"co",403,25
108130,"August",2014-08-18 12:41:34,21835,"mn",9,29
108131,"August",2014-08-18 07:47:56,22619,"co",8,18
108132,"August",2014-08-05 05:28:42,15251,"pa",276,42
108133,"August",2014-08-25 07:03:50,20948,"tx",3,38
108136,"August",2014-08-12 07:38:36,19713,"ky",2,24
108137,"August",2014-08-06 07:24:36,23044,"ma",6,11
108138,"August",2014-08-24 08:37:52,20557,"ne",161,23
108139,"August",2014-08-30 19:39:03,21660,"mo",0,41
108140,"August",2014-08-29 01:28:34,23064,"tn",99,41
